Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2021;Nb de pers. non scolarisées de 15 ans ou + 2020;Résidences principales 2020;Logements 2020;Nb d'emplois au lieu de travail (LT) 2020;Nb étab. actifs employeurs au 31/12 2021;Nb d'hôtels 2024;Nb de chambres dans les hôtels 2024;Nb de terrains de camping 2024;Nb d'emplacements de camping 2024;Nb d'autres hébergements collectifs de tourisme 2024
01323;Reyssouze;1010;777;412;476;125;17;0;0;0;0;0
01325;Rignieux-le-Franc;1098;780;418;447;89;14;0;0;0;0;0
01328;Romans;617;460;205;247;236;15;0;0;0;0;0
01329;Rossillon;160;125;78;135;20;4;0;0;0;0;0
01330;Ruffieu;177;149;83;135;22;6;1;8;0;0;0
01331;Saint-Alban;192;148;83;109;21;4;0;0;0;0;0
01332;Saint-André-de-Bâgé;809;580;308;325;145;20;0;0;0;0;0
01333;Saint-André-de-Corcy;3368;2482;1420;1496;1275;158;0;0;0;0;0
01334;Saint-André-d'Huiriat;675;467;246;273;56;15;0;0;0;0;0
01335;Saint-André-le-Bouchoux;418;266;138;148;66;13;0;0;0;0;0
01336;Saint-André-sur-Vieux-Jonc;1211;857;496;551;196;25;0;0;0;0;0
01337;Saint-Bénigne;1343;985;540;610;252;34;0;0;0;0;0
01338;Groslée-Saint-Benoit;1238;902;515;698;257;30;0;0;0;0;0
01339;Saint-Bernard;1497;1131;572;657;192;31;0;0;0;0;0
01342;Sainte-Croix;547;387;200;225;91;18;1;34;0;0;0
01343;Saint-Cyr-sur-Menthon;1844;1299;730;780;974;48;0;0;0;0;0
01344;Saint-Denis-lès-Bourg;6063;4509;2685;2833;1347;193;0;0;0;0;0
01345;Saint-Denis-en-Bugey;2240;1672;989;1082;198;33;0;0;0;0;0
01346;Saint-Didier-d'Aussiat;850;624;353;394;81;17;0;0;0;0;0
01347;Saint-Didier-de-Formans;2141;1490;811;888;193;42;0;0;0;0;0
01348;Saint-Didier-sur-Chalaronne;3052;2223;1253;1391;961;103;0;0;1;133;0
01349;Saint-Éloi;524;404;210;231;55;13;0;0;0;0;0
01350;Saint-Étienne-du-Bois;2553;1939;1129;1220;643;81;0;0;1;66;0
01351;Saint-Étienne-sur-Chalaronne;1613;1107;606;684;185;29;0;0;0;0;0
01352;Saint-Étienne-sur-Reyssouze;581;422;232;268;51;6;0;0;0;0;0
01353;Sainte-Euphémie;1730;1207;645;684;199;32;0;0;0;0;0
01354;Saint-Genis-Pouilly;14558;9664;5873;6518;3535;344;4;262;0;0;1
01355;Saint-Genis-sur-Menthon;486;361;208;232;62;11;0;0;0;0;0
01356;Saint-Georges-sur-Renon;199;142;79;87;10;5;0;0;0;0;0
01357;Saint-Germain-de-Joux;505;375;216;300;52;12;1;8;0;0;0
01358;Saint-Germain-les-Paroisses;425;328;187;252;42;8;0;0;0;0;0
01359;Saint-Germain-sur-Renon;257;185;98;115;31;8;0;0;0;0;0
01360;Saint-Jean-de-Gonville;1988;1372;778;931;281;26;0;0;0;0;0
01361;Saint-Jean-de-Niost;1826;1155;626;699;124;28;0;0;0;0;0
01362;Saint-Jean-de-Thurigneux;829;569;298;313;101;36;0;0;0;0;0
01363;Saint-Jean-le-Vieux;1786;1360;803;925;428;48;0;0;0;0;0
01364;Saint-Jean-sur-Reyssouze;767;581;338;420;132;16;0;0;0;0;0
01365;Saint-Jean-sur-Veyle;1159;849;466;507;166;28;0;0;0;0;0
01366;Sainte-Julie;1090;744;398;435;588;14;1;22;0;0;0
01367;Saint-Julien-sur-Reyssouze;707;536;327;404;168;27;0;0;0;0;0
01368;Saint-Julien-sur-Veyle;848;583;325;349;88;22;0;0;0;0;0
01369;Saint-Just;954;736;381;400;589;34;0;0;0;0;0
01370;Saint-Laurent-sur-Saône;1659;1369;945;1076;438;48;0;0;0;0;0
01371;Saint-Marcel;1261;877;494;537;99;13;0;0;0;0;0
01372;Saint-Martin-de-Bavel;436;316;178;240;77;12;0;0;0;0;0
01373;Saint-Martin-du-Frêne;1033;784;436;546;381;49;0;0;0;0;0
01374;Saint-Martin-du-Mont;1899;1377;804;939;323;46;0;0;0;0;0
01375;Saint-Martin-le-Châtel;781;578;323;353;83;11;0;0;0;0;0
01376;Saint-Maurice-de-Beynost;4155;2938;1656;1774;2035;97;1;89;0;0;0
01378;Saint-Maurice-de-Gourdans;2748;1954;1064;1225;284;57;0;0;1;110;0
01379;Saint-Maurice-de-Rémens;756;541;306;367;88;13;0;0;0;0;0
01380;Saint-Nizier-le-Bouchoux;598;468;286;367;138;22;0;0;1;70;0
01381;Saint-Nizier-le-Désert;922;632;344;389;133;20;0;0;0;0;0
01382;Sainte-Olive;331;215;120;129;44;10;0;0;0;0;0
01383;Saint-Paul-de-Varax;1641;1119;605;694;382;37;1;5;1;105;0
01384;Saint-Rambert-en-Bugey;2173;1624;981;1336;605;52;1;7;0;0;0
01385;Saint-Rémy;943;730;409;432;270;30;0;0;0;0;0
01386;Saint-Sorlin-en-Bugey;1125;825;485;560;312;25;0;0;0;0;0
01387;Saint-Sulpice;260;168;97;101;12;4;0;0;0;0;0
01388;Saint-Trivier-de-Courtes;1119;887;507;597;561;46;0;0;0;0;0
01389;Saint-Trivier-sur-Moignans;1857;1379;728;812;573;53;0;0;0;0;0
01390;Saint-Vulbas;1234;920;502;560;8748;162;2;38;0;0;0
01391;Salavre;284;231;140;176;64;8;0;0;0;0;0
01392;Samognat;660;487;258;292;31;8;1;8;0;0;0
01393;Sandrans;567;397;211;253;66;16;0;0;1;70;0
01396;Sault-Brénaz;997;758;459;560;265;23;0;0;0;0;0
01397;Sauverny;992;743;419;509;71;7;0;0;0;0;0
01398;Savigneux;1449;992;550;585;302;46;1;7;0;0;0
01399;Ségny;2412;1528;893;1027;497;48;1;16;0;0;0
01400;Seillonnaz;137;109;67;97;18;2;0;0;0;0;0
01401;Sergy;2218;1511;880;1000;101;16;0;0;0;0;0
01402;Sermoyer;648;506;300;371;55;12;0;0;0;0;0
01403;Serrières-de-Briord;1312;995;597;671;179;39;0;0;1;135;0
01404;Serrières-sur-Ain;134;107;71;155;8;3;0;0;0;0;0
01405;Servas;1270;912;511;547;600;32;0;0;0;0;0
01406;Servignat;175;138;80;95;15;3;0;0;0;0;0
01407;Seyssel;1001;754;482;613;169;21;1;12;1;59;0
01408;Simandre-sur-Suran;656;488;283;358;206;19;1;8;1;15;0
01410;Sonthonnax-la-Montagne;292;228;130;161;25;9;0;0;0;0;0
01411;Souclin;267;211;124;170;22;3;0;0;0;0;0
01412;Sulignat;608;438;234;247;104;17;0;0;0;0;0
01415;Talissieu;519;431;217;275;108;13;0;0;0;0;0
01416;Tenay;1013;785;450;747;219;17;0;0;0;0;0
01418;Thil;1156;792;400;432;244;26;0;0;0;0;0
01419;Thoiry;6136;4355;2602;2987;1734;185;1;32;0;0;2
01420;Thoissey;1655;1324;804;949;670;46;0;0;1;292;0
